idx,prompt,ground_truth,predicted,model_response,question_type,correct
0,"Please solve the following problem and only output the answer at the end with ""The answer is: "".Ben purchased a secondhand bicycle for $\$15$. It was one-fifth of its original price. What was the original price in dollars?",75,$15,$15,word_problem,False
1,"Please solve the following problem and only output the answer at the end with ""The answer is: "".If the total of an everlasting geometric sequence is 15 and the sum of the terms squared equals 45, what is the initial term of the sequence?",5,squared,squared,word_problem,False
2,"Please solve the following problem and only output the answer at the end with ""The answer is: "".If Rosie bought an art piece for $4000 three years ago and its price will triple in another three years, what will be the increase in the price of the art piece?",8000,3000,3000,word_problem,False
3,"Please solve the following problem and only output the answer at the end with ""The answer is: "".The journey from Abel's house to Alice's house is 35 miles and is divided into x equal portions. Abel is driving at a speed of 40 miles per hour. After traveling for 0.7 hours, how many portions of the journey has he covered?
If we know the answer to the above question is 4, what is the value of unknown variable x?",5,4,4,word_problem,False
4,"Please solve the following problem and only output the answer at the end with ""The answer is: "".If one of Gordon's shopping bags weighs three pounds and the other weighs seven, and Trace's five shopping bags weigh the same amount as Gordon's two bags combined, how much does one of Trace's shopping bags weigh?",2,three pounds,three pounds,word_problem,False
5,"Please solve the following problem and only output the answer at the end with ""The answer is: "".Maria needs to calculate the circumference and the area of a circular garden to determine the amount of fencing and grass seed she needs to buy. The actual diameter of the garden is 20 cm, but Maria's measurement could be off by up to $20\%$. What is the largest possible percent error, in percent, in Maria's computed circumference and area of the garden?",44,20,20,word_problem,False
6,"Please solve the following problem and only output the answer at the end with ""The answer is: "".If Mark wants to purchase a pair of slippers for his wife, which are originally priced at $50.00 and are currently 10% off, and he also wants to have her initials embroidered on top for $5.50 per shoe, with a flat rate of $10.00 for shipping, what will be the total cost of the slippers?",66,$50.00,$50.00,word_problem,False
7,"Please solve the following problem and only output the answer at the end with ""The answer is: "".Calculate the expression $88 / 4 / 2$. What is the result?",11,8,8,equation,False
8,"Please solve the following problem and only output the answer at the end with ""The answer is: "".If $x$ is doubled, increased by X$, and then divided by $5$, the result is $11$. What is the value of $x$?
If we know the answer to the above question is 26, what is the value of unknown variable X?",3,2,2,word_problem,False
9,"Please solve the following problem and only output the answer at the end with ""The answer is: "".On a Cartesian coordinate plane, points $(2,1)$ and $(3, 4)$ are adjacent points on a square. What is the area of the square?",10,68.8 m2,68.8 m2,equation,False
10,"Please solve the following problem and only output the answer at the end with ""The answer is: "".When dividing a polynomial by $2x^2 - 7x + 18$, what degrees are possible for the remainder? Please list all possible values, separated by commas.","0,1",0,0,equation,False
