idx,question,prompt,ground_truth,model_response,predicted,correct
0,33*q + 2352 = 30*q - 81*q for q.,Solve 33*q + 2352 = 30*q - 81*q for q.,-28,-11,-11,False
1,0 = -102312*q + 102301*q + 11 for q.,Solve 0 = -102312*q + 102301*q + 11 for q.,1,-1,-1,False
2,35688 + 62078 = 1249*c + 691*c + 10466 for c.,Solve 35688 + 62078 = 1249*c + 691*c + 10466 for c.,45,58,58,False
3,28023 = 1240*i - 4217 for i.,Solve 28023 = 1240*i - 4217 for i.,26,-13,-13,False
4,7*i + 32*i = 100*i + 793 for i.,Solve 7*i + 32*i = 100*i + 793 for i.,-13,-9,-9,False
5,9*b = -15*b - 416*b - 11880 for b.,Solve 9*b = -15*b - 416*b - 11880 for b.,-27,-20,-20,False
6,9*c - 24962 + 49772 = 24891 for c.,Solve 9*c - 24962 + 49772 = 24891 for c.,9,-13,-13,False
7,162*h + 13500 = -35*h - 103*h for h.,Solve 162*h + 13500 = -35*h - 103*h for h.,-45,-25,-25,False
8,1974 + 4466 = 1116*y + 1976 for y.,Solve 1974 + 4466 = 1116*y + 1976 for y.,4,-13,-13,False
9,187 = -106*w + 294*w - 1564 - 5581 for w.,Solve 187 = -106*w + 294*w - 1564 - 5581 for w.,39,-13,-13,False
10,-809*h + 14302 = -6732 for h.,Solve -809*h + 14302 = -6732 for h.,26,-29,-29,False
11,5486 - 1363 + 725 = -24*p + 125*p for p.,Solve 5486 - 1363 + 725 = -24*p + 125*p for p.,48,-13,-13,False
12,2720*t - 535*t + 3339 = -581*t + 14403 for t.,Solve 2720*t - 535*t + 3339 = -581*t + 14403 for t.,4,-13,-13,False
13,-226 = -109*p + 559 + 87 for p.,Solve -226 = -109*p + 559 + 87 for p.,8,-4,-4,False
14,4528 = -659*l - 4677 - 6611 for l.,Solve 4528 = -659*l - 4677 - 6611 for l.,-24,-29,-29,False
15,-127*y + 518 = 16*y + 89 for y.,Solve -127*y + 518 = 16*y + 89 for y.,3,-4,-4,False
